AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Garrya elliptica,GAEL,Increase by cuttings in cool weather or by seed.,Increase by cuttings in cool weather or by seed.
Oxalis oregana,OXOR,Divide rhizomes in early spring.,Divide rhizomes in early spring.
Polystichum munitum,POMU,Spores. It will spread well on it's own but plants can be divided in fall.,Spores. It will spread well on it's own but plants can be divided in fall.
Kalmia polifolia,KAPO,Propagation is by seeds under a mist tent or by summer cuttings.,Propagation is by seeds under a mist tent or by summer cuttings.
Vancouveria hexandra,VAHE,Increase with pieces of,Increase with pieces of rhizome or seeds sown soon after harvest. Plants are produced very rapidly from rhizome divisions.
Callisia rosea,CARO18,"Seeds sown fresh outdoors germinate in two weeks. Alternatively, seeds may be stored over winter and sown in early spring without pretreatment. A faster method of propagation is divide a large clump into several pieces. Divide in early fall or very ear","Seeds sown fresh outdoors germinate in two weeks. Alternatively, seeds may be stored over winter and sown in early spring without pretreatment. A faster method of propagation is divide a large clump into several pieces. Divide in early fall or very ear"
Allium stellatum,ALST,Division of,Division of bulb cluster; seed
Dryopteris filix-mas,DRFI2,Divide or propagate by spores.,Divide or propagate by spores.
Elaeagnus commutata,ELCO,"Propagation is by layering, grafting, hardwood & root cuttings and by seed. Seed usually germinate the second spring. Suckers can be separated from parent plants in spring. Stratify seed for 2 to 3 months at 40C prior to sowing. Cutting, suckers. (Williams)","Propagation is by layering, grafting, hardwood & root cuttings and by seed. Seed usually germinate the second spring. Suckers can be separated from parent plants in spring. Stratify seed for 2 to 3 months at 40C prior to sowing. Cutting, suckers. (Williams)"
Helianthus atrorubens,HEAT,NA,NA
Alnus rhombifolia,ALRH2,Propagated from freshly collected seeds released from the female conelets in fall.,Propagated from freshly collected seeds released from the female conelets in fall.
Agave virginica,MAVI5,Can be propagated by seed.,Can be propagated by seed.
Cocculus carolinus,COCA,easy from seeds in spring,easy from seeds in spring
Helianthus occidentalis,HEOC2,NA,NA
Lyonia lucida,LYLU3,Sow seeds in spring.,Sow seeds in spring.
Hypericum sphaerocarpum,HYSP2,NA,NA
Solidago rigida,OLRIR,NA,"Seed germination may be increased with stratification, but this pre-treatment is not absolutely necessary. If planting untreated seed, be sure it is fresh. Propagate also by division of mature plants in spring or fall."
Hypericum buckleyi,HYBU,NA,NA
Diervilla rivularis,DIRI,NA,NA
Halesia diptera,HADI3,"Cuttings are difficult to root; those that do root should not be transplanted until growth flushes the following spring. Seeds require a period of after-ripening followed by cold, moist stratification.","Cuttings are difficult to root; those that do root should not be transplanted until growth flushes the following spring. Seeds require a period of after-ripening followed by cold, moist stratification."
Tradescantia ohiensis,TROH,Plant unstratified seed in fall or stratified seed in spring. A faster method of propagation is divide a large clump into several pieces. Divide in early fall or very early spring.,Plant unstratified seed in fall or stratified seed in spring. A faster method of propagation is divide a large clump into several pieces. Divide in early fall or very early spring. Stem cuttings may be taken any time during the growing season. Remove
Calycanthus occidentalis,CAOC5,"Sow fresh, untreated seeds or store and stratify.","Sow fresh, untreated seeds or store and stratify."
Pinus virginiana,PIVI2,Propagate by seed.,Propagate by seed.
Desmanthus illinoensis,DEIL,"Sow scarified, inoculated seed.","Sow scarified, inoculated seed."
Dalea purpurea,DAPU5,Division of this deep-rooted plant can be tricky so propogation by seed is recommended.,Division of this deep-rooted plant can be tricky so propogation by seed is recommended.
Viola striata,VIST3,NA,NA
Collinsia verna,COVE2,NA,NA
Solidago nemoralis,SONE,"Seed germination may be increased with stratification, but this pre-treatment is not absolutely necessary. If planting untreated seed, be sure it is fresh. May also be propagated by division of mature plants. Make sure each section has a","Seed germination may be increased with stratification, but this pre-treatment is not absolutely necessary. If planting untreated seed, be sure it is fresh. May also be propagated by division of mature plants. Make sure each section has a bud and a root"
Erigeron philadelphicus,ERPH,NA,NA
Quercus montana,QUMO4,NA,NA
Cardamine pratensis,CAPR3,NA,NA
Iris virginica,IRVI,Clump division is the usual method of increase. Divide in early fall when the leaves begin to turn yellow. Keep stringy roots attached to the stubby,"Clump division is the usual method of increase. Divide in early fall when the leaves begin to turn yellow. Keep stringy roots attached to the stubby rhizome sections. If propagation is to made by seed, sow immediately in an outdoor seed bed. Seedlings"
Juncus effusus,JUEF,NA,NA
Silphium integrifolium,SIIN2,Sow unstratified seed in fall or stratified seed in spring.,Sow unstratified seed in fall or stratified seed in spring.
Sidalcea malviflora,SIMA2,Most easily propagated from seed planted in the late fall. You can also divide the root crowns in the winter before the flowering,Most easily propagated from seed planted in the late fall. You can also divide the root crowns in the winter before the flowering stem starts to develop. Cut the root lengthwise into 2-3 pieces and replant 8-12 in. apart.
Equisetum scirpoides,EQSC,NA,NA
Erigeron glaucus,ERGL3,"Propagate by divisions, cutting or seed. Seeds require light for germination.","Propagate by divisions, cutting or seed. Seeds require light for germination."
Verbesina alternifolia,VEAL,NA,NA
Trillium luteum,TRLU3,NA,NA
Apocynum cannabinum,APCA,NA,NA
Asclepias sullivantii,ASSU3,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by moist stratification.,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by moist stratification.
Castilleja coccinea,CACO17,NA,NA
Delphinium exaltatum,DEEX,Propagation by seeds and division.,Propagation by seeds and division.
Erigeron pulchellus,ERPU,"Seeds may be sown outside in late fall or the following spring without any cold treatment. Only a small percentage of the seeds will germinate, so sow thickly. Seeds require light for germination. A more practical method of propagation is division. Se","Seeds may be sown outside in late fall or the following spring without any cold treatment. Only a small percentage of the seeds will germinate, so sow thickly. Seeds require light for germination. A more practical method of propagation is division. Se"
Lespedeza capitata,LECA8,Easily propagated from scarified seed. Sow unstratified seed in fall; stratified in spring.,Easily propagated from scarified seed. Sow unstratified seed in fall; stratified in spring.
Polystichum braunii,POBR4,NA,NA
Smilax rotundifolia,SMRO,NA,NA
Maianthemum stellatum,MAST4,Fall,Fall rhizome division and division of mature plants are propagation options. Seed may also be used.
Fraxinus profunda,FRPR,NA,NA
Eutrochium maculatum,EUMA9,NA,NA
Silene regia,SIRE2,NA,NA
Gaylussacia baccata,GABA,Propagation by seed is possible.,Propagation by seed is possible.
Arundinaria gigantea,ARGI,NA,NA
Prunus nigra,PRNI,"Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification. Some species need a period of after","Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification. Some species need a period of after"
Elymus hystrix,ELHY,NA,NA
Astragalus canadensis,ASCA11,Easily propagated by seed sown unstratified in fall or stratified in spring.,Easily propagated by seed sown unstratified in fall or stratified in spring.
Hasteola suaveolens,HASU3,NA,NA
Saxifraga oppositifolia,SAOP,Best grown from seed.,Best grown from seed.
Amelanchier stolonifera,AMHU2,NA,NA
Eriogonum umbellatum,ERUM,Propagate only by seed as it is nearly impossible to transplant or divide the long taproots of mature plants. Plant seed thickly as germination is low.,Propagate only by seed as it is nearly impossible to transplant or divide the long taproots of mature plants. Plant seed thickly as germination is low.
Rubus spectabilis,RUSP,Propagation is easiest by cuttings or layering. Increase by seed is not as easy but is possible.,Propagation is easiest by cuttings or layering. Increase by seed is not as easy but is possible.
Oemleria cerasiformis,OECE,Easy to grow from treated seed or,Easy to grow from treated seed or twig cuttings.
Pinus monophylla,PIMO,"Sow fresh, untreated seed in late fall. Seedlings are quite susceptible to damping-off.","Sow fresh, untreated seed in late fall. Seedlings are quite susceptible to damping-off."
Sisyrinchium californicum,SICA8,Propagate by seed or divisions.,Propagate by seed or divisions.
Parthenium integrifolium,PAIN3,NA,NA
Napaea dioica,NADI2,NA,NA
Arnoglossum atriplicifolium,ARAT,NA,NA
Rubus parviflorus,RUPA,NA,NA
Eupatorium capillifolium,EUCA5,NA,NA
Talinum paniculatum,TAPA2,NA,NA
Berchemia scandens,BESC,NA,NA
Quercus ilicifolia,QUIL,NA,NA
Amelanchier arborea,AMAR3,"Use treated softwood cuttings taken when growth extension has ceased, the end leaf is maturing, and the","Use treated softwood cuttings taken when growth extension has ceased, the end leaf is maturing, and the stem tissue is firming. Sow untreated seeds in fall or cold-stratified seed in spring."
Oenothera perennis,OEPE,NA,NA
Quercus garryana,QUGA4,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Heuchera micrantha,HEMI7,Propagate from seed or cuttings (lateral rosettes).,Propagate from seed or cuttings (lateral rosettes).
Anemone multifida,ANMU,Grow from seed sown in fall or early spring. Older plants can be divided in spring.,Grow from seed sown in fall or early spring. Older plants can be divided in spring.
Iris douglasiana,IRDO,Increase by seed or,Increase by seed or rhizome divisions. Divide rhizomes in late fall or early spring but cutting the leaves back to about 5 in. and then cutting between the tufted clumps. Plant fresh seeds in early fall in permanent location or flats that are left out o
Camassia cusickii,CACU2,NA,NA
Sedum spathulifolium,SESP,"Increase with cuttings, rooted sections or seed.","Increase with cuttings, rooted sections or seed."
Lewisia pygmaea,LEPY2,NA,NA
Monardella macrantha,MOMA,"Propagate by cutting, divisions or seed.","Propagate by cutting, divisions or seed."
Erysimum capitatum,ERCA14,NA,"Untreated seed planted 1/4"" deep will germinate readily. Plant in late summer or early fall."
Sambucus cerulea,SANIC5,NA,NA
Geum triflorum,GETR,Prairie smoke can be grown from seeds or from divisions.,Prairie smoke can be grown from seeds or from divisions. Rhizome cuttings or divisions of mature plants should be done in late summer or early spring.
Polemonium pulcherrimum,POPU3,Propagate by divisions or seed.,Propagate by divisions or seed.
Sisyrinchium idahoense,SIID,NA,NA
Sorbus decora,SODE3,NA,NA
Loiseleuria procumbens,LOPR,NA,NA
Solidago shortii,SOSH,NA,NA
Lonicera caerulea,LOCA6,NA,NA
Viola pedatifida,VIPE2,Stratified seed planted in fall,Stratified seed planted in fall
Hibiscus coccineus,HICO2,Easily grown from seed.,Easily grown from seed.
Kosteletzkya virginica,KOVI,"Seeds germinate easily, particularly in warm (70 degree) soils. Tip cuttings, taken before flowering, will root.","Seeds germinate easily, particularly in warm (70 degree) soils. Tip cuttings, taken before flowering, will root."
Fraxinus quadrangulata,FRQU,Seeds may be sown outdoors after collection or stored and stratified then sown in spring.,Seeds may be sown outdoors after collection or stored and stratified then sown in spring.
Rhododendron austrinum,RHAU,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of organic matter. Cultivated,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of organic matter. Cultivated evergreen azaleas
Rhododendron canescens,RHCA7,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Phlox douglasii,PHCA7,NA,NA
Thermopsis rhombifolia,THRH,NA,NA
Atriplex canescens,ATCA2,Increase by seed sown in spring or softwood cuttings taken from late spring to early fall.,Increase by seed sown in spring or softwood cuttings taken from late spring to early fall.
Cercocarpus montanus,CEMO2,Slow-growing from seeds; sow in cool soil. Heel cutting from summer wood may root.,Slow-growing from seeds; sow in cool soil. Heel cutting from summer wood may root.
Dalea candida,DACA7,NA,NA
Sisyrinchium campestre,SICA9,NA,NA
Ilex montana,ILMO,NA,NA
Cornus racemosa,CORA6,"Sow seeds immediately after collection or scarify and stratify and sow the following spring. Cornus spp. will root from softwood or semi-hardwood cuttings taken in summer, hardwood cuttings in winter, and suckers and division and by layering in the early","Sow seeds immediately after collection or scarify and stratify and sow the following spring. Cornus spp. will root from softwood or semi-hardwood cuttings taken in summer, hardwood cuttings in winter, and suckers and division and by layering in the early"
Arctostaphylos hookeri,ARHO3,Propagation by seed is can be difficult.,Propagation by seed is can be difficult.
Gaillardia aestivalis,GAAE,NA,NA
Crataegus succulenta,CRSU5,NA,NA
Monarda punctata,MOPU,Easily propagated from untreated seed sown in fall or stratified seed sown in spring.,Easily propagated from untreated seed sown in fall or stratified seed sown in spring.
Asclepias verticillata,ASVE,Plant seeds outside in the fall. Seedlings will germinate immediately but may not flower until the second year.,Plant seeds outside in the fall. Seedlings will germinate immediately but may not flower until the second year.
Lewisia nevadensis,LENE5,NA,NA
Stachys coccinea,STCO,NA,NA
Rhododendron atlanticum,RHAT,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Quercus marilandica,QUMA3,NA,NA
Pinus serotina,PISE,NA,NA
Prunus angustifolia,PRAN3,"Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification.","Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification."
Nuphar lutea,NULU,Divide bulblets from plants and grow in watertanks. Also can grow from slices of root with buds.,Divide bulblets from plants and grow in watertanks. Also can grow from slices of root with buds.
Illicium parviflorum,ILPA,Easily rooted from cuttings.,Easily rooted from cuttings.
Nyssa ogeche,NYOG,"Sow fresh or stratified seed in a moist, muddy soil covered by one inch of firm soil. Seedlings benefit from partial shade.","Sow fresh or stratified seed in a moist, muddy soil covered by one inch of firm soil. Seedlings benefit from partial shade."
Styrax grandifolius,STGR4,NA,NA
Zanthoxylum clava-herculis,ZACL,NA,NA
Mimulus alatus,MIAL2,NA,NA
Scrophularia marilandica,SCMA2,NA,NA
Silphium terebinthinaceum,SICOR2,"Propagate by sowing seed sowing unstratified seed in fall or stratified seed in spring. If producing transplants, sow seed late in the season as the rapid",NA
Agalinis tenuifolia,AGTE3,NA,NA
Vernonia fasciculata,VEFA2,NA,NA
Eryngium yuccifolium,ERYU,"Usually propagated by seed planted outdoors in fall or stored, stratified and planted in spring. Mature plants can be divided in late spring or early fall.","Usually propagated by seed planted outdoors in fall or stored, stratified and planted in spring. Mature plants can be divided in late spring or early fall."
Osmorhiza longistylis,OSLO,"Sweet cicely is not easy, but not impossible, to start from seeds.","Sweet cicely is not easy, but not impossible, to start from seeds."
Brickellia eupatorioides,BREU,NA,NA
Oenothera albicaulis,OEAL,NA,NA
Carex crus-corvi,CACR8,NA,NA
Symphyotrichum oolentangiense,SYOO,"Sow seeds, 5/8"" deep, outside in fall or provide cold stratification. Also propagated by ""softwood"" cuttings taken in late spring.","Sow seeds, 5/8"" deep, outside in fall or provide cold stratification. Also propagated by ""softwood"" cuttings taken in late spring."
Clematis pitcheri,CLPI,"Plant seed outdoors in the fall or store and stratify before planting. Single, internodal, softwood cuttings taken in summer can be rooted. Clematis spp. are also propagated by late summer layerings.","Plant seed outdoors in the fall or store and stratify before planting. Single, internodal, softwood cuttings taken in summer can be rooted. Clematis spp. are also propagated by late summer layerings."
Coreopsis palmata,COPA10,Easily propagated by division of adult plants in fall or spring.,Easily propagated by division of adult plants in fall or spring. Rhizome cuttings can also be taken. Sow unstratified seed in fall or stratified seed in spring.
Delphinium carolinianum,DECA3,Propagate by seed sown in early fall or spring.,Propagate by seed sown in early fall or spring.
Salix exigua,SAEX,Willows are among the easiest of all plants to root from cuttings.,"Willows are among the easiest of all plants to root from cuttings. Stem and root cuttings are used. Propagation is also accomplished by sowing fresh, untreated seed onto a moist seedbed. Seed viability lasts only a few days."
Quercus douglasii,QUDO,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Quercus gambelii,QUGA,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Echinacea pallida,ECPA,Easily transplanted by seed. Division seems to stimulate the development of too many stems and few flowers.,Easily transplanted by seed. Division seems to stimulate the development of too many stems and few flowers.
Nothoscordum bivalve,NOBI2,NA,NA
Quercus texana,QUBU2,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,NA
Cyperus haspan,CYHA,NA,NA
Asclepias lanceolata,ASLA2,NA,NA
Furcraea selloa,FUSE,NA,NA
Symphyotrichum oblongifolium,SYOB,"Sow seeds, 5/8"" deep, outside in fall or provide cold stratification. Also propagated by ""softwood"" cuttings taken in late spring.","Sow seeds, 5/8"" deep, outside in fall or provide cold stratification. Also propagated by ""softwood"" cuttings taken in late spring."
Veratrum virginicum,VEVI5,NA,NA
Asarum shuttleworthii,HESHS,NA,Increase by division.
Iris brevicaulis,IRBR2,Clump division is the usual method of increase. All,Clump division is the usual method of increase. All native iris can be grown from seed.
Prunus mexicana,PRME,"Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Seeds of P. mexicana require a period of after-ripening followed by cold stratification.","Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Seeds of P. mexicana require a period of after-ripening followed by cold stratification."
Ilex coriacea,ILCO,Reproduces best if seeds are planted immediately after collection. Patience is probably more important than cold treatment for breaking seed dormancy. May be pretreated with double-stratification. Semi-hardwood cuttings from well-matured growth of the,Reproduces best if seeds are planted immediately after collection. Patience is probably more important than cold treatment for breaking seed dormancy. May be pretreated with double-stratification. Semi-hardwood cuttings from well-matured growth of the
Vernonia baldwinii,VEBA,"Few seeds are fertile, so sow thickly when soil temperature is warm. May also be propagated by root division and softwood tip cuttings.","Few seeds are fertile, so sow thickly when soil temperature is warm. May also be propagated by root division and softwood tip cuttings."
Sarracenia leucophylla,SALE4,NA,NA
Solidago speciosa,SOSP2,"Seed germination may be increased with stratification, but this pre-treatment is not absolutely necessary. If planting untreated seed, be sure it is fresh. Propagate also by division.","Seed germination may be increased with stratification, but this pre-treatment is not absolutely necessary. If planting untreated seed, be sure it is fresh. Propagate also by division."
Solidago rugosa,SORU2,"If seeds are sown fresh, plant outdoors. Germination is often poor so sow thickly.","If seeds are sown fresh, plant outdoors. Germination is often poor so sow thickly. Stem tip cuttings can be taken in May or June. Division of the basal rosettes, usually in late winter, offers the easiest method of increase. Mature plants can yield 30"
Grindelia lanceolata,GRLA3,NA,NA
Asclepias quadrifolia,ASQU,NA,NA
Campanula americana,CAAM18,Seeds germinate easily. Shallow plant the small seeds in spring for a,Seeds germinate easily. Shallow plant the small seeds in spring for a biennial plant or fall for an annual.
Tradescantia subaspera,TRSU2,NA,NA
Ludwigia palustris,LUPA,NA,NA
Polypodium virginianum,POVI7,NA,NA
Thymophylla tenuiloba,THTE7,NA,NA
Verbena stricta,VEST,Plant stratified or unstratified seed.,Plant stratified or unstratified seed.
Elephantopus carolinianus,ELCA3,NA,NA
Monarda bradburiana,MOBR2,NA,NA
Rhododendron arborescens,RHAR3,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Rhododendron calendulaceum,RHCA4,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Equisetum hyemale,EQHY,NA,NA
Gaylussacia brachycera,GABR5,Untreated seeds are slow to germinate. Treatment is recommended. The success of cuttings is variable. Best results seem to occur with treated late summer or fall cuttings.,Untreated seeds are slow to germinate. Treatment is recommended. The success of cuttings is variable. Best results seem to occur with treated late summer or fall cuttings.
Penstemon eatonii,PEEA,"Most successfully propagated by stratified seed, although root division in late fall is possible.","Most successfully propagated by stratified seed, although root division in late fall is possible."
Antennaria neglecta,ANNE,NA,NA
Aesculus sylvatica,AESY,NA,NA
Amelanchier grandiflora,AMSAS,NA,NA
Alnus maritima,ALMA7,NA,NA
Viola labradorica,VILA10,NA,NA
Symphyotrichum drummondii,SYDR,NA,NA
Arabis blepharophylla,ARBL,NA,NA
Phyllodoce caerulea,PHCA10,NA,NA
Carex plantaginea,CAPL4,Divide established clumps.,Divide established clumps.
Lyonia mariana,LYMA2,NA,NA
Crataegus viridis,CRVI2,NA,NA
Pteris ensiformis,PTEN,NA,NA
Athyrium asplenioides,ATFIA2,NA,NA
Deschampsia flexuosa,DEFL,NA,NA
Juncus tenuis,JUTE,NA,NA
Saccharum alopecuroides,SAAL21,NA,NA
Asclepias purpurascens,ASPU2,NA,NA
Helenium flexuosum,HEFL,NA,NA
Eupatorium altissimum,EUAL3,NA,NA
Coccothrinax argentata,COAR,NA,NA
Pycnanthemum incanum,PYIN,"Best propagated by cuttings or divisions. Tip cuttings are easy and reliable, taken in June. To make divisions, lift the clump in late fall or early spring and use pruning shears to divide the shallow root system. Seeds are so tiny it is best to plant","Best propagated by cuttings or divisions. Tip cuttings are easy and reliable, taken in June. To make divisions, lift the clump in late fall or early spring and use pruning shears to divide the shallow root system. Seeds are so tiny it is best to plant"
Drosera intermedia,DRIN3,NA,NA
Sabatia angularis,SAAN,NA,NA
Carex vulpinoidea,CAVU2,NA,NA
Carex laxiculmis,CALA18,NA,NA
Rhododendron viscosum,RHVI2,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Spiraea betulifolia,SPBE2,NA,NA
Ageratina altissima,AGAL5,NA,NA
Deschampsia cespitosa,DECE,Propagate by seed or division.,Propagate by seed or division.
Taenidia integerrima,TAIN,NA,NA
Eutrochium purpureum,EUPU21,"Sow seeds in the fall and plant thickly as germination is usually low. Propagation is also possible by ""softwood"" cuttings taken in late spring or by division. Divide the plants in fall as they go dormant, or in the spring just as shoots first appear.","Sow seeds in the fall and plant thickly as germination is usually low. Propagation is also possible by ""softwood"" cuttings taken in late spring or by division. Divide the plants in fall as they go dormant, or in the spring just as shoots first appear."
Quercus pumila,QUPU80,NA,NA
Agave parryi,AGPA4,NA,NA
Chamaecrista fasciculata,CHFA2,Propagate by seed.,Propagate by seed.
Clinopodium arkansanum,CLAR5,NA,NA
Pilea nummulariifolia,PINU,NA,NA
Cornus foemina,COFO,Propagation by seed is possible.,Propagation by seed is possible.
Pycnanthemum verticillatum,PYVE,NA,NA
Blephilia ciliata,BLCI,Propagate by division.,Propagate by division.
Quercus wislizeni,QUWI2,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Eriogonum giganteum,ERGI2,Propagation by seed is possible.,Propagation by seed is possible.
Parkinsonia florida,PAFL6,NA,NA
Encelia farinosa,ENFA,Increase by cultivating self-sown seedlings or by tip cuttings.,Increase by cultivating self-sown seedlings or by tip cuttings.
Penstemon newberryi,PENE3,NA,NA
Schoenoplectus tabernaemontani,SCTA2,Germinating seed in water at 86-90 degrees in continous high light gives good results.,Germinating seed in water at 86-90 degrees in continous high light gives good results.
Actaea pachypoda,ACPA,"Propagated by root division in early spring or fall, or by seed sown outside, 1/2"" deep, as soon as ripe. Seeds germinate the following year and flower the third.","Propagated by root division in early spring or fall, or by seed sown outside, 1/2"" deep, as soon as ripe. Seeds germinate the following year and flower the third."
Verbesina helianthoides,VEHE,NA,NA
Bidens ferulifolia,BIFE2,NA,NA
Iliamna remota,ILRIR,NA,NA
Cryptotaenia canadensis,CRCA9,NA,NA
Rhus copallinum,RHCO,Plant scarified seed 1/3-3/4 in. deep. Easily transplanted by division of colony. Semi-hardwood cutting taken in summer or fall will root.,Plant scarified seed 1/3-3/4 in. deep. Easily transplanted by division of colony. Semi-hardwood cutting taken in summer or fall will root.
Solidago flexicaulis,SOFL2,Fresh seed or root division. will spread on its own.,Fresh seed or root division. will spread on its own.
Cinna arundinacea,CIAR2,NA,NA
Stenaria nigricans,STNI6,NA,NA
Heuchera parviflora,HEPA10,NA,NA
Trillium cuneatum,TRCU,NA,NA
Sium suave,SISU2,NA,NA
Asimina parviflora,ASPA18,"Plants are easily grown from scarified/stratified seed. Increase by root cuttings, layering, or dormant transplanting.","Plants are easily grown from scarified/stratified seed. Increase by root cuttings, layering, or dormant transplanting."
Agastache scrophulariifolia,AGSC,NA,NA
Cornus obliqua,COOB9,Propagate by seed or cuttings. Silky dogwood is one of the easiest dogwoods to root. Semi-hardwood cuttings benefit from hormone treatment; softwood cutting do not require treatment.,Propagate by seed or cuttings. Silky dogwood is one of the easiest dogwoods to root. Semi-hardwood cuttings benefit from hormone treatment; softwood cutting do not require treatment.
Symphyotrichum sericeum,SYSE2,Usually propagated by seed planted in fall or cold-moist stratified and planted in spring.,Usually propagated by seed planted in fall or cold-moist stratified and planted in spring.
Scutellaria ovata,SCOV,NA,NA
Blephilia hirsuta,BLHI,NA,NA
Pycnanthemum muticum,PYMU,NA,NA
Amsonia illustris,AMIL,NA,NA
Zamia pumila,ZAPU,Can be propagated from seed. Cleaned seeds should be spread on the ground and covered with a thin layer of leaves or soil. After sprouting in six weeks that plants can be transferred to pots.,Can be propagated from seed. Cleaned seeds should be spread on the ground and covered with a thin layer of leaves or soil. After sprouting in six weeks that plants can be transferred to pots.
Arctostaphylos patula,ARPA6,Propagation by seed is can be difficult. Increase can be accomplished through layering.,Propagation by seed is can be difficult. Increase can be accomplished through layering.
Vaccinium oxycoccos,VAOX,NA,NA
Spartina pectinata,SPPE,Propagate by seed or division.,Propagate by seed or division.
Salvia clevelandii,SACL,May be propagated by seed sown outdoors in early fall.,May be propagated by seed sown outdoors in early fall.
